,drug,cell_line,IC50
0,5-Fluorouracil,HL60,2.558926
1,5-azacytidine,HL60,0.917132
2,A-366,HL60,4.83616
3,ABT737,HL60,-2.817798
4,AGI-5198,HL60,3.644734
5,AGI-6780,HL60,3.037778
6,AGK2,HL60,2.904736
7,AMG-319,HL60,3.808546
8,AT13148,HL60,3.379137
9,AZ6102,HL60,2.479558
10,AZ960,HL60,0.054884
11,AZD1208,HL60,4.885844
12,AZD1332,HL60,4.895281
13,AZD2014,HL60,3.617651
14,AZD3759,HL60,2.156169
15,AZD4547,HL60,3.137978
16,AZD5153,HL60,-0.760805
17,AZD5363,HL60,1.933375
18,AZD5438,HL60,1.929562
19,AZD5582,HL60,1.523764
20,AZD5991,HL60,-2.292906
21,AZD6738,HL60,2.042793
22,AZD7762,HL60,0.296543
23,AZD8055,HL60,1.456973
24,AZD8186,HL60,1.816854
25,Acetalax,HL60,5.255601
26,Afatinib,HL60,1.518567
27,Afuresertib,HL60,3.057738
28,Alisertib,HL60,-1.114913
29,Alpelisib,HL60,2.21634
30,Avagacestat,HL60,3.321006
31,Axitinib,HL60,1.346913
32,BI-2536,HL60,-3.860741
33,BIBR-1532,HL60,3.967546
34,BMS-345541,HL60,4.133874
35,Bleomycin (50 uM),HL60,3.346662
36,Bortezomib,HL60,-5.511162
37,Bosutinib,HL60,1.746057
38,Bromosporine,HL60,0.197511
39,Buparlisib,HL60,0.361896
40,CPI-637,HL60,3.339946
41,CZC24832,HL60,4.656184
42,Camptothecin,HL60,-4.472606
43,Carmustine,HL60,5.767251
44,Cediranib,HL60,1.939612
45,Cisplatin,HL60,1.387772
46,Crizotinib,HL60,2.02268
47,Cytarabine,HL60,0.250847
48,Dabrafenib,HL60,4.896857
49,Dacarbazine,HL60,5.007591
50,Dactolisib,HL60,-1.099591
51,Dasatinib,HL60,2.184483
52,Dihydrorotenone,HL60,-3.980924
53,Docetaxel,HL60,-5.308438
54,Doramapimod,HL60,4.815009
55,EHT-1864,HL60,2.148829
56,EPZ004777,HL60,4.743614
57,EPZ5676,HL60,4.468414
58,Elephantin,HL60,2.441787
59,Entinostat,HL60,0.657198
60,Entospletinib,HL60,4.430713
61,Epirubicin,HL60,-2.725109
62,Erlotinib,HL60,3.516011
63,Foretinib,HL60,0.507843
64,Fulvestrant,HL60,3.329908
65,GNE-317,HL60,-0.282199
66,GSK-LSD1,HL60,0.670554
67,GSK1904529A,HL60,4.988584
68,GSK2110183B,HL60,3.692014
69,GSK2578215A,HL60,2.065239
70,GSK2606414,HL60,2.656222
71,GSK2801,HL60,4.181437
72,GSK2830371,HL60,3.332171
73,GSK591,HL60,4.336599
74,GW441756,HL60,2.912734
75,Gallibiscoquinazole,HL60,1.713327
76,Gefitinib,HL60,3.269647
77,Gemcitabine,HL60,-3.005111
78,I-BET-762,HL60,0.75756
79,I-BRD9,HL60,2.824221
80,ICL-SIRT078,HL60,3.229446
81,IWP-2,HL60,1.86372
82,Ibrutinib,HL60,3.251737
83,Ipatasertib,HL60,2.421669
84,Irinotecan,HL60,0.505657
85,JNK Inhibitor VIII,HL60,4.787407
86,JQ1,HL60,-1.774252
87,KRAS (G12C) Inhibitor-12,HL60,5.559532
88,KU-55933,HL60,4.233836
89,L-Oxonoreleagnine,HL60,3.071544
90,LCL161,HL60,3.909526
91,LGK974,HL60,2.274807
92,LJI308,HL60,4.338849
93,LY2109761,HL60,4.893069
94,Lapatinib,HL60,3.124205
95,Leflunomide,HL60,4.850157
96,Lenalidomide,HL60,3.177559
97,Lestaurtinib,HL60,-1.224208
98,Linsitinib,HL60,2.296419
99,MG-132,HL60,-1.14181
100,MIM1,HL60,4.384764
101,MIRA-1,HL60,4.251009
102,MK-1775,HL60,0.537033
103,MK-2206,HL60,3.567611
104,MK-8776,HL60,3.474365
105,ML323,HL60,3.795059
106,MN-64,HL60,2.037886
107,Methotrexate,HL60,-3.429267
108,Mitoxantrone,HL60,-1.648092
109,Motesanib,HL60,3.398147
110,Mycophenolic acid,HL60,0.872644
111,N-acetyl cysteine,HL60,9.943743
112,NU7441,HL60,0.40654
113,NVP-ADW742,HL60,0.25705
114,Navitoclax,HL60,-1.246696
115,Nelarabine,HL60,5.274322
116,Nilotinib,HL60,2.067855
117,Niraparib,HL60,4.647715
118,Nutlin-3a (-),HL60,3.685447
119,OF-1,HL60,0.928478
